id	advert_id	domain	developer	address	gp	description	entrance_number	floor	area	room_count	flat_number	price	published_at	actualized_at
cf54bd9f-8d85-42c2-b1c3-37445315795a	322308	t-dsk.ru	ТДСК	ул. Александра Пушкина, д. 5, (ГП-7.6), подъезд 3, квартира №105	ГП-7	1-комнатная квартира на ул. Александра Пушкина, д.5, ГП-7.6 3 подъезд	3	3	41.0	1	105	3750000	2023-12-06 07:46:51.402000+00:00	2023-12-12 15:52:56.183000+00:00
f9544478-9b9a-4e6a-a21a-67281033476d	321498	t-dsk.ru	ТДСК	ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 10, квартира №557		2-комнатная квартира на ул. Александра Митинского, дом 4, ГП 3.8 10 подъезд	10	14	67.0	2	557	6800000	2023-10-26 15:17:02.749000+00:00	2023-12-11 04:04:17.509000+00:00
81e62c7f-d785-4268-9607-1ba1dfdf7b18	321057	t-dsk.ru	ТДСК	ул. Монтажников, д.  42, (ГП-5.10), подъезд 1, квартира №63	ГП-5	1-комнатная квартира на  ул. Монтажников, 42 (ГП-5.10) 1 подъезд	1	12	39.5	1	63	4550000	2023-08-27 12:13:03.431000+00:00	2024-02-02 15:41:55.892000+00:00
95d905b1-f596-4e3b-b98f-cadd683911e6	320353	t-dsk.ru	ТДСК	ул. Монтажников, д. 40, подъезд 2, квартира №153		1-комнатная квартира на ул. Монтажников, дом 40 2 подъезд	2	15	39.5	1	153	4250000	2023-06-01 05:39:31.628000+00:00	2023-08-16 17:02:13.166000+00:00
8b1e2618-281f-49ca-a03c-1cb10376f925	99569	t-dsk.ru	ТДСК	ул. Монтажников 36, (ГП-4.7), подъезд 1, квартира №68	ГП-4	1-комнатная квартира на улица Монтажников 36, ГП-4.7 1 подъезд	1	10	42.8	1	68	4800000	2023-07-14 13:09:54.040000+00:00	2023-08-18 13:33:12.779000+00:00
a5f6f831-babc-4754-bf41-8eb7973333bb	300645	t-dsk.ru	ТДСК	ул. Монтажников, д. 38, подъезд 2, квартира №92		1-комнатная квартира на ул. Монтажников, дом 38 2 подъезд	2	3	37.3	1	92	4000000	2023-03-13 05:12:02.804000+00:00	2023-08-25 05:47:44.700000+00:00
16200346-946d-49f8-9345-115a26166834	321314	t-dsk.ru	ТДСК	ул. Монтажников, д.  42а, (ГП-5.11), подъезд 2, квартира №96	ГП-5	1-комнатная квартира на  ул. Монтажников, 42а (ГП-5.11) 2 подъезд	2	4	39.5	1	96	4500000	2023-08-27 12:12:40.349000+00:00	2023-09-21 16:06:40.600000+00:00
3fb39736-6cd4-4a52-9c51-98c3547e8f36	321685	t-dsk.ru	ТДСК	ул. Федора Достоевского, д.  26, (ГП-7.1), подъезд 2, квартира №118	ГП-7.1	1-комнатная квартира на ул. Федора Достоевского, 26 (ГП-7.1) 2 подъезд	2	8	26.9	1	118	3500000	2023-10-06 12:52:43.427000+00:00	2024-05-14 04:06:14.785000+00:00
077f5651-e303-4593-bf36-b9e3c4344a68	320626	t-dsk.ru	ТДСК	ул. Валентины Трофимовой, д. 8, подъезд 2, квартира №156		1-комнатная квартира на ул. Валентины Трофимовой, дом 8 2 подъезд	2	16	38.6	1	156	4600000	2023-06-19 12:57:50.348000+00:00	2023-08-17 10:50:27.525000+00:00
869eab6b-16ba-4cd5-bb9b-c6cf1a9db598	321206	t-dsk.ru	ТДСК	ул. Монтажников, д.  42, (ГП-5.10), подъезд 3, квартира №212	ГП-5	1-комнатная квартира на  ул. Монтажников, 42 (ГП-5.10) 3 подъезд	3	13	37.2	1	212	4300000	2023-08-27 12:12:26.872000+00:00	2024-02-02 15:41:55.892000+00:00
